#NAME,  X,  Y,  Z,  R,  ERR,  VX,  VY,  VZ,  V , ERR, J,  ERR 
Fornax, -41.21995199, -50.86260745, -133.85752949, 149.011412476, 12.0000116024, -25.35410792, -153.26134956, 109.2214891, 192.603153512, 44.8376308071, 28470.7587264, 8712.48663016 
Sculptor, -5.23139519, -9.76511742, -85.33584265, 86.0540957074, 5.96891371431, 35.91123523, 186.38580566, -96.64011706, 213.230613692, 9.93876133304, 17232.219656, 1267.46326426 
Carina,  -25.00487903, -95.72257277, -39.69933162, 106.603677595, 5.99084102743, -73.34699685, 8.5582981, 38.61254048, 96.9577207133, 40.5606001794, 10322.1534693, 4532.41618305 
Draco, -4.36242253, 62.29846981, 43.25949325, 75.9735971244, 5.96076864517, 57.76714306, 18.1106209, -172.29039749, 182.785276457, 4.05173172688, 12241.2804302, 1233.89141378 
LeoI, -123.78319501, -119.51007551, 191.92455061, 257.759938706, 14.987059748, -167.17900436, -34.7759377, 95.61415347, 201.536735277, 19.1656016637, 27917.7280356, 9146.16516707 
UrsaMinor, -22.24278871, 52.0851793, 53.53952984, 77.9372966928, 2.98763573681, -108.30756594, -15.10495629, -115.06296718, 173.070056825, 48.7607277733, 12545.1543773, 4374.671331 
Sextans, -36.70804367, -56.93311656, 57.83168339, 89.0703097475, 3.99005149565, -171.32276084, 113.29331964, 115.18463513, 308.662881765, 142.179698303, 26559.5784373, 13168.8912975 
LeoII, -77.20025721, -58.14525444, 214.76363506, 235.508873762, 14.0131805167, -40.16010173, 118.65165468, 39.49805658, 138.241378887, 41.7147267226, 32105.4266499, 9997.93229201 
Sagittarius, 16.75826498, 2.44526514, -6.36023117, 18.0924776895, 1.99813220891, 235.88186977, -37.07900805, 210.7731393, 319.919122013, 22.8506412457, 5249.29120076, 1000.12045984 
SMC, 15.06705819, -38.1266375, -44.20597069, 60.29063098, 2.85963299949, 18.84221775, -153.41706672, 153.26677513, 218.512967507, 25.985881299, 13209.645943, 2066.83194065 
LMC, -1.06029101, -41.0917899, -27.86108902, 49.6592842048, 2.27284201795, -57.43243423, -225.83438735, 221.06773022, 321.43277654, 21.2746220281, 15687.5857386, 1787.50330682 
